K,LVAE,CF-LVAE,PMF,Random
10,0.0842,0.124,0.0041,0.00003
50,0.0721,0.0961,0.0032,0.00004
100,0.0569,0.0614,0.0014,0.000012
200,0.0311,0.0325,0.0016,0.000015
