K,LVAE,CF-LVAE,PMF,Random
10,0.124,0.174,0.0054,0.00007
20,0.1108,0.157,0.00507,0.000068
50,0.094,0.131,0.0046,0.00005
70,0.068,0.0814,0.0041,0.000056
100,0.056,0.061,0.0034,0.00006
200,0.041,0.039,0.0028,0.00001
400,0.034,0.037,0.0018,0.000022
600,0.0068,0.0073,0.001,0.000013
800,0.008,0.009,0.0008,0.00003
