K,LVAE,CF-LVAE,PMF,Random
10,0.0712,0.0911,0.0032,0.00001
50,0.0581,0.0821,0.00201,0.00002
100,0.0423,0.0584,0.00091,0.000014
200,0.0215,0.0225,0.00086,0.000035
